Name,Age,Email
ALICE,30,alice@example.com
BOB,20,bob@example.com
CHARLIE,25,charlie@example.com
DAVID,19,david@example.com
EVE,35,eve@example.com
FRANK,45,frank@example.com
GRACE,22,grace@example.com
HANK,33,hank@example.com
IVY,29,ivy@example.com
JACK,21,jack@example.com
KAREN,27,karen@example.com
LEO,40,leo@example.com
MIA,18,mia@example.com
NINA,32,nina@example.com
OSCAR,28,oscar@example.com
PAUL,50,paul@example.com
QUINN,24,quinn@example.com
RICK,31,rick@example.com
SARA,23,sara@example.com
TOM,26,tom@example.com
UMA,37,uma@example.com
VERA,34,vera@example.com
WILL,38,will@example.com
XENA,20,xena@example.com
YARA,36,yara@example.com
ZANE,19,zane@example.com
ANNA,42,anna@example.com
Name,Age,Email
ALICE,30,alice@example.com
BOB,20,bob@example.com
CHARLIE,25,charlie@example.com
DAVID,19,david@example.com
EVE,35,eve@example.com
FRANK,45,frank@example.com
GRACE,22,grace@example.com
HANK,33,hank@example.com
IVY,29,ivy@example.com
JACK,21,jack@example.com
KAREN,27,karen@example.com
LEO,40,leo@example.com
MIA,18,mia@example.com
NINA,32,nina@example.com
OSCAR,28,oscar@example.com
PAUL,50,paul@example.com
QUINN,24,quinn@example.com
RICK,31,rick@example.com
SARA,23,sara@example.com
TOM,26,tom@example.com
UMA,37,uma@example.com
VERA,34,vera@example.com
WILL,38,will@example.com
XENA,20,xena@example.com
YARA,36,yara@example.com
ZANE,19,zane@example.com
ANNA,42,anna@example.com
